일자,언론사,제목,통합 분류1,키워드,특성추출
1997-01-01,국민일보,"(환경투자) 없이 미래없다,환경파괴 나의 파괴",사회-환경,"환경투자,미래,환경파괴,파괴,정부,기업,시민,의식,대전환,경제,자연보호,우리나라,조정,21세기,위기,환경파괴,경기,장기침체,고실업률,전쟁,남북통일,예측,불가능,환경,누적적,악화,개선,건강도,징후,정직,21세기,한반도,대기,자연환경,운명,20여년,경험,하천,호수,오염,5년,정부,수질,개선,2조,수질,악화,대기,지표상,개선,오염물질,아황산가스,후진국,오염,물질,휘발성,미세,먼지,질소,산화물,휘발,유기화합물,오존,사람,건강,신종,유해,물질,잿빛,환경,전망,국민,체감오염도,관련지표,수치,휴양지,공단,공장,골프장,위락시설,폐수,바다,대도시,미세먼지,한강,북한산,관악산,환경인식,환경정책,수질,대기오염방지차원,원천,의존,생명체,보존,범정부차원,본격적,인식,환경,경제성장,충돌,경제성장,효율성,국가경쟁력,환경보호,상충,경제발전,단계,도달,우리나라,선진국,문턱,나라,현상,의미,선진국,그룹,지속가능,허구,재산,나라,환경,자원보전,수위,속도,가능,개발도상국,저개발국,불가능,우리나라,불균형,정부,기업,국회,경기,침체,걱정,지역구,개발민원,환경,뒷전,재정경제원,휘발유,세금,34%,세입중,공기,재원,책정,국회의원들,국정감사,정협,환경보호,농공단지,입주허용,공해,업종,기업,입주,허용,수도권,자연보전권역,해제,재조정,위천공단,신설확정,그린벨트,규제완화,반환경적,통과,통과,예정,기업,먼저,개인,먼저,한반도,환경,첩경,정부,기업,정책,투자,조정,무분별,환경관련투자,처방,단기,실천,어려움,우리나라,민간,환경,단체,기업,정부,규모,사업,환경,파괴,제지,성공,사례,사업,경제,이득,환경훼손,손실,가치,비교,장기적,국민,개개인,인식,가치관,전환,생산,대량,소비,발전,행복,척도,생각,기업인,포함,시민,인식,제도,정책결정과정,세월,개혁,인식,단기,처방,장기,치유,불가능,환경문제,정치,경제,사회관계,제도,재화,낭비구조,이익,세력,정부,기업,결정,시민단체,언론,기업활동,내재,환경,기업,폐수,정화,대기,오염,물질,여과,시설,친환경적,이윤,추구,확장,기업활동,속성,자체,간접적,환경파괴적,부지기수,재봉틀,브라더미싱,1년,모델,대체수요,자동차,가전업계,대조,사례,고전적,과대포장,환경파괴적,상품들,판촉,효과적,소비자취향,기업,시민들,자동차,운행빈도,자동차,신규,구입,당장,자동차,제조업,정유업계,타격,국민들,에너지,절약,습관,급속도,정착,전력,정유산업,적자,감수,종류,일회용품,청량음료,얘기,미국,월드워치연구소,연구원,앨런,테인,더닝,저서,소비,주의,극복,미국,대형,유통업체들,재래상권,잠식,대량소비,촉진,설명,교외,쇼핑단지,상업지구,시내,상인들,주거,지역,인근,상인,상권,교외,콜로라도주,덴버시,쇼핑,단지,시내,상가,지구,매상,대중교통수단,이용,쇼핑,승용차교통량,증가,도시,확장,가속화,현상,우리나라,신도시,백화점,대형,할인점,마이크로버스,손님,교통수요,촉발,할인판매,미끼,대량구매,충동구매,대량소비,억제,욕망,경제활동,환경,조화,해결,경제주체,노력,세월,요구,개인차원,욕망,귀착,더닝씨,결국,소비,강조,현대사회,성공,상징,소비규모,사람,가늠,기준,추구,가치체계,낙동강,투입,수질,근본적,개선,서구,선진국,세기동안,무분별,자연약탈,야생,동물,사냥,역사,자연보호,한세기전,클라이브,폰팅,녹색세계사,1830년대,북미대륙,들소,버펄로,인디언,사냥,4천만,6천만,마리,유지,19세기,무렵,마지막,멸종위기,들소,가죽,제품화,결정,기화,그전,선진산업국가들,아프리카,아시아,대륙,식민지,경영,단일,작물,경작,강요,토지,식민지경제,예속화,사례,부지기수,더닝씨,현대,선진국들,소비,주의,생활,방식,세월,인류,문화,절약,가치관,일탈,진단,검약,절제,정신,만족,휴식,가족,지역공동체,중시,생활방식,전통,가치,대안,우리나라,대형승용차,사회,지위,사람,대기오염,생각,사람,다수,환경윤리,성취","우리나라,선진국,자동차,불가능,가치관,미세먼지,더닝씨,환경파괴적,더닝,들소,미국,승용차,식민지,생활방식,자연보호,현대,무분별,오염물질,부지기수,불균형,휘발유,대량소비,덴버시,연구원,상인들,쇼핑단지,콜로라도주,휘발성,환경보호,테인,21세기,기업활동"
1997-01-05,세계일보,"미,공기오염방지법 대폭 강화,미세먼지까지 규제대상에 포함",사회-환경,"공기오염방지법,강화,미세먼지,규제대상,포함,제조업,예상,산업,반발,경제성장,환경오염,비례,미환경보호국,EPA,국장,캐롤,브라우너,대답,EPA,연례,보고서,미국경제,25년,지속적,성장,공기오염,감소,미국,국내총생산,GDP,대기,청정법,Clean,Air,Act,95년,25년,사이,1백,증가,일산화탄소,아황산가스,스모그,아황산가스,대기중,오염물질,30%,브라우너,국장,건강,일자리,가지,선택,경제성장,환경보호,동시,추구,강조,미국인,3명,8천만,현행,공중,보건,기준,미달,공기,오존,미세먼지,규제,강화,법안,미세먼지,규제대상,포함,법안,의회,통과,후반이후,후반,공기,오염,방지책,미세먼지,24개,머리카락,넓이,머리카락,공간,미립자,법안,미세먼지,크기,현행,지름,2.5,규제,요구,오존,0.12,현행,0.12,PPM,0.08,PPM,EPA,법안,요절,20만,천식악화,25만,호흡기질환,1백,소아호흡기질환,25만,기관지염,6천,위험,미국인,주장,EPA,60일,공청회,기간,6월,오존,미세먼지,규제강화법안,확정,방침,산업계,반발,치열,공방전,예상,미제조업자협회,리처드,사이버트,상황,규제,강화,불평","미국인,epa,산업계,미세먼지,아황산가스,25만,1백,미국,브라우너,공기오염,방지책,리처드,후반이후,경제성장,캐롤,총생산,청정법,천식악화,6천,20만,공청회,보고서,사이버트,국내총생산,기관지염,ppm,일산화탄소,미국경제,호흡기질환,미환경보호국,소아호흡기질환,3명,호흡기,소아호흡기,환경보호,환경오염"
1997-01-06,동아일보,서울 지하철역 (환경 전광판)4월 첫선,사회-사회일반,"서울,지하철역,환경,전광판,4월,첫선,서울,지하철역,환경,전광판,4월,첫선,을지로,만남,광장,설치,유해,물질,측정,자료,梁泳彩,서울,지하철역,환경오염,정도,전광판,4월,서울,지하철공사,지하,환경,시민,신뢰도,을지로입구역,만남,광장,세로,크기,환경전광판,설치,전광판,지하철역,설치,자동측정장치,시간,연속,측정,자료,전송,항목별,분류,단위,측정항목,먼지,아황산가스,이산화질소,일산화탄소,이산화탄소,가지,공사측,측정장치,설치,1호,선시청역,2호,동대문운동장역,3호,경복궁역,4곳,서울역,잠정,선정,공사관계자,역당,설치비용,10억,시민들,호응,종합적,추가설치,검토,서울,지하철역,일부역,측정,결과,먼지,TSP,미세먼지,기준치,중금속,아황산가스,등나머지,항목,기준치","서울,전광판,지하철역,아황산가스,4곳,일산화탄소,이산화탄소,중금속,첫선,기준치,미세먼지,동대문운동장역,2호,3호,선시청역,경복궁역,추가설치,서울역,역당,10억,공사관계자,관계자,을지로입구역,공사측,시민들,신뢰도,환경전광판,을지로,1호,지하철공사,설치비용,이산화질소,항목별,자동측정장치"
1997-01-06,동아일보,'97 환경캠페인 매연을 줄입시다 서울 車배기가스 5년새 거의 2배,경제-자동차,"매연,환경,캠페인,서울,배기가스,5년,2배,환경,캠페인,매연,서울,배기가스5년,2배,서울,오존,주의보,차례,발령,대기,오염,80%,자동차,매연,그린스카우트,감시,고발운동,전개,대도시,대기오염,서울,하늘,먼지,대기,오염,주범,자동차,매연,서울,90년,대기,오염,물질,자동차,배기,가스,차지,비중,48.8%,95년,80.8%,서울,자동차,95년,2백,증가,가량,具滋龍,대기오염,악화,질병,비용,의료비,사회,65조,동아일보사,그린스카우트,주제,환경,캠페인,대기오염,대기오염물질,자동차,매연,대기,오염,물질,활동,대기,오염,실태,서울,오존오염도,연평균,0.009,0.016,오염도,가량,전국,오존경보제,서울,차례,오존주의보,발령,오존주의보,오존,농도가,시간,기준,0.1,초과,발령,노약자,나들이,정도,오염도가,상태,오존,자동차매연중,질소,산화물,황산화물,햇빛,반응,선진국,오염,물질,질환,각종,호흡기,원인,자동차,매연,미세먼지,직경,오염,실정,95년,측정지점,2백,기준치,하루,평균,기준,1백,초과,초과횟수,1백,초과지점,지점,집계,전국적,배기가스,대기,오염,물질,자동차,배기,가스,차지,비중,지난해말,40%,서울과광주,80%,대전75.0,대구,67.6%,대도시,자동차매연,대기오염,주범,그린스카우트활동계획,그린스카우트,8백,직장,지역지회,2백,각급,학교,지부,회원,대상,자동차운행,자제,운동,대기오염,지회,지부,대기,오염,감시단,구성,자동차매연,감시활동,쓰레기,불법,소각,감시,활동,그린스카우트,매연,자동차,적발,시군구,철저,단속,요청,방침,그린스카우트,金宰範,김재범,사무총장,서울,대기오염,위험수위,매연발생량,경유,가격,휘발유,책정,그린스카우트,정책적,측면,대기오염,방안,제시,다짐","서울,자동차,대기오염,그린스카우트,2배,자동차매연,1백,2백,대도시,의료비,황산화물,배기가스,오염도,기준치,주의보,오존주의보,감시단,각급,호흡기,대기오염물질"
1997-01-11,한국경제,특색있는 구조·기능… 분양률 높인다,지역-충남,"특색,구조,분양률,음악감상실,컴퓨터전용방,마련,먼지,습기흡수,벽체,건강형,아파트,선봬,쓰레기고속건조기,방지,설치,환경오염,분양률,극대화,시장,개방,시대,쌍용,현대,대우,건설업체,경쟁,주택,차별,불꽃,실내,음악감상실,설계,먼지,벽체,설치,수요자주문,실내,장식,평면,구조,파괴,수준,주택구조,변화,추구,주택,수요자,요구,부응,현상,아파트,극복,외국,건설업체,주택시장,자구책,풀이,현대건설,개성연출,가능,평면,설계,주택건설,역점,방침,현대,다용도실,특수배선,음향시설,마련,음악감상실,컴퓨터전용실,공간,연출,한편,발코니,장독대,정원,운동,공간,아파트,선뵐,예정,현대,환경오염,방지,폐자원,재활용,폐기물,음식쓰레기,건조처리,건조기,쓰레기,고속,발효,신축,아파트단지,설치,94년,아파트,주택,상품,차별,추진,대우건설,건강,에너지,절약,아파트,건설,구상,대우,바이러스,질환,미세먼지,습기,자연,통풍,흡습,벽체,공급,아파트,설치,대우,지하수보존,아파트,단지,아스팔트,투수형,시공,빗물,활용,한편,중수도,설계,허드렛물,사용,계획,대우,아파트옥상,잔디,쌍용건설,주택사업,상품전략,테마,주택상품개발,분양가,제한,등지,싱가포르,미국,고급,주택,건설,경험,아파트,접목,주택,내부인테리어,주문,패키지,상품,소비자들,취향,설계,주택기능,소형평형,욕실,설치,방침,삼성물산,건설,나무,소재,이용,한국,아파트,선뵐,예정,삼성,현관,거실,정원스타일,실내녹화,치중,발코니,크기,대형,옥외식사공간,활용,거주자,한편,전용마당,텃밭,조성,LG건설,거실,침실사이,벽체,가변형,설계,거실,양쪽,TV,각종,콘센트,설치,안방,사용빈도,거실,소비자,욕구,사용,우방주택,도무스,고유,브랜드,특수층,겨냥,고급빌라,공급,고급빌,1층,거실,독서실,주방,응접실,한데,배치,침실,욕실,2층,집중,서구식,스타일,특징,주택공사,동거,임대형,주택,설계,작업,전용,35평,중형,아파트,공급,주공,공급,경기,기흥상갈,택지,지구,2천,40가구,아파트,가구,1.4%,전용,35평,규모,부분임대형,동거,설계,공급,계획","대우,현대,감상실,소비자,음악감상실,40가구,수요자,건설업체,1층,건조기,환경오염,기흥상갈,싱가포르,미국,응접실,삼성물산,분양률"
1997-01-13,경향신문,빨간불 켜진 (서울 스모그)(사설),사회-환경,"서울,스모그,사설,서울,하늘,며칠째,상태,겨울철,스모,현상,기상청,설명,스모그,밤새,냉각,지표면,공기,상층공기,기온,역전,현상,대기순환,아황산가스,이산화질소,각종,오염,물질,하늘,호흡기,질환,스모그,장기간,천식,폐렴,유발,시민건강,서울,공기,오염,상태,세계,최악,국제적,사실,유엔환경계획,세계은행,국제기구,환경보고서,서울,북경,멕시코시티,카이로,세계,대기오염,도시,오염,공기,스모그,순환,서울,하늘,도심,남산타워,정도,상황,호흡기,질환,사망자,런던,스모그,나라,스모,현상,서울,대기오염,방치,대기오염,서울,국한,전국적,현상,공기,오염,주요인,자동차,공장,배기가스,난방연료등,지적,배출,아황산가스,질소산화물,미세먼지등,공기중,누적,시민들,건강,위협,오염물질,배출,환경대책,집중,물론,비용,어려움,대기오염,나중,해결,불능,상태,저황연료,공급,자동차,가스,배출,허용,기준,강화,한편,단속,확대,방안,마련,연료,배기가스,노력,집진,흡착장치,감축장치등,자동차,배기,가스,감축,장치,공급,권장,조치,대기,오염,측정,확대,오염실태,원인,조사,지속적,개선책,강구,한편,환경,기준,현실,중요,미세먼지,규제,오염물질,대책,선진국,수준,강화,대기,오염,방지책,마련,스모그,재앙","서울,대기오염,자동차,배기가스,아황산가스,오염물질,방지책,호흡기,세계은행,산화물,개선책,국제기구,유엔환경계획,흡착장치,남산타워,미세먼지등,미세먼지,시민건강,멕시코시티,시민들,질소산화물,카이로,환경보고서,선진국,사망자,난방연료등,장기간,며칠째,지표면,저황,기상청,저황연료,북경,런던,이산화질소,공기중"
1997-01-13,중앙일보,-도시를푸르게--기고-자투리 공간 최대로 활용,사회-환경,"도시,기고,자투리,공간,최대,활용,시민중,요즘,서울,시민,해소,환자,기침,사람들,원인,공기중,황산화물,질소산화물,미세먼지등,축적,사람들,손상,의사들,기약,치료,정도,서울,대기,오염,상황,느낌,우리나라,산림,국토면적,65%,도시들,분지,형태,지형,특성,녹지,비율,분지형태,도시,평지,녹지,현실,평균적,도심,녹지,5~1,나머지,90~95%,도로,건물,아스팔트,콘크리트,녹지,구성,식물,증산작용,호흡작용,토양미생물,대사활동,지역,미세,기상,조절,오염물질,정화,수행,아스팔트,콘크리트,역할,흡수,도심,온도,상승,기온,역전,현상,오염물질,결국,대기,오염,물질,정체,분지,도시,강풍,현상,발생,서울,도시,삼림,면적,26.7%,대부분북한산,수락산,아차산,대모산,관악산등,도시,외곽,존재,도심,대기,오염,물질,정체,현상,2백만,자동차,대기오염물질,정체,시민,건강,위협,정체,대기오염물질,사람,생태계,영향,각종,대기,오염,물질,산성비,토양,오염,토양산도,서울,지역,산림,20여년,10배,토양산성,지렁이,땅강아지,토양,미생물,개구리,지경,대도시,인구,우리나라,현실,시민들,질적,기분,방법,도시,녹지,가능,복원,확대,도심,녹지,공간,건물옥상,자투리땅,도로변,하천변,철로변,공공건물,주변,나무,공간,나무,나무,지속적,이경재,서울,시립,교수","서울,우리나라,대기오염물질,오염물질,이경재,미생물,사람들,토양산도,하천변,철로변,질소산화물,황산화물,수락산,아차산,도로변,북한산,토양산,대모산,토양산성,자투리땅,산화물,공공건물,증산작용,대부분북한산,대도시,공기중,의사들,10배"
1997-01-15,한국일보,"5일째 스모그 '숨막히는 서울',기온역전 등 영향",사회-날씨,"5일,스모그,서울,기온역전,영향,이산화황,2배,일교차,자동차,배기가스,증가,10일,서울,스모,현상,먼지,이산화황,이산화질소,농도,1월,2배,8일,발견,서울,지역,스모그,14일,5일,서울시,서울,지역,기온역전현상,풍속감소,자동차,배기가스,증가,연무,스모,현상,계약,호흡기,장애,시민건강,기온역전현상,대기상층부,지상,3백,1천,m이상,지상온도,일교차,심화,공기흐름,정체,바람,대기환경측정소,서울시,대기,환경,측정소,측정결과,스모그,미세먼지량,대기,미세,먼지량,1백,허용기준치,1백,평균,2.5배,허용기준치,초과,이산화황,0.025,PPM,먼지,이산화질소,0.63,PPM,1월,악화,환경부,매연시설,점검,환경부,기온,역전,현상,서울,대기오염,악화,이달말,매연배출업소,방지시설,먼지발생사업장,집진시설,가동상태,점검,버스차고지,매연차량,집중,단속","서울,이산화황,서울시,1백,일교차,2배,이산화질소,기온역전현상,환경부,허용기준치,미세먼지량,호흡기,시민건강,1천,m이상,공기흐름,측정결과,버스차,방지시설,측정소,집진시설,사업장,3백,지상온도,ppm,버스차고지,매연차량,매연배출업소,이달말,가동상태,배기가스,자동차,풍속감소,먼지량,대기환경측정소"
1997-01-15,동아일보,서울 대기악화외출삼가세요,사회-날씨,"서울,대기,악화,외출삼,서울,대기,악화,외출삼,기온역전,속출,감기,호흡기,질환자,지표면,온도,상층부,기온,역전,현상,서울,시내,대기,감기,호흡기질환,발생,서울시,대기,아황산가스,농도,0·018,0·025,0·017,평균,이산화질소,기간평균치,0·036,0·052,0·063,기록,먼지,1백,1백,미세먼지,1백,1백,평균,초과,관계자,온도차,풍속,습도,기온역전현상,대기,정체,대기오염물질,확산,설명,관계자,시야,연무현상,나흘간,외출,당부,高眞夏","관계자,호흡기,서울,1백,기온역전,서울시,외출삼,아황산가스,온도차,나흘간,연무현상,기간평균치,지표면,질환자,미세먼지,기온역전현상,이산화질소,상층부,호흡기질환,대기오염물질,高眞夏,대기,평균,현상,온도,농도,감기,기온,먼지,속출,역전,당부,외출,확산,발생,물질,습도"
1997-01-20,중앙일보,서울 지하철 시청역 미세먼지 기준치 2.5배나 초과,사회-날씨,"기준,서울,지하철,시청역,미세,먼지,2.5배,초과,가톨릭,의대,교수,조사,지하철,시청역,미세,먼지,농도,환경기준치,초과,대책마련,김현욱,가톨릭,의대,산업,보건,대학원,金顯旭,교수팀,서울,시내,지하철,공기,채취,결과,미세,먼지,농도,단위,환경기준치,1백,개통,5호,역내,미세,먼지,농도,기준치,조사,2호,시청역,3백,신도림역,2백,교차역,미세,먼지,농도,신촌역,1백,교차역,상대적,현상,3호,교대역,2백,종로3가역,2백,교차역,미세,먼지,농도,안국역,1백,고속터미널역,1백,5호,답십리역,1백,군자역,85.1,일반역,교차역,왕십리역,65.2,미세먼지,안심,수준,조사팀,시청역,미세,먼지,농도,교차역,유동인구,오염,공기,통로,역들,직경,미세먼지,폐속,호흡기,질환,진폐증,규폐증,폐암,유발,역내,지하철,측정,농도,미세,먼지,최고,종로5가역,청량리역,2백,서울시,국감,자료","미세먼지,1백,2백,교차역,시청역,5호,5호,서울,서울시,5호,종로,가톨릭,김현욱,가역,환경기준치,2호,진폐증,규폐증,대학원,金顯旭,3호,호흡기,역들,상대적,교수팀,교대역,대책마련,폐속,유동인구,일반역,군자역,터미널역,고속터미널역,신도림역,종로3가역,조사팀,청량리역,종로5가역"
